コード,銘柄名,市場・商品区分,33業種コード,33業種区分,17業種コード,17業種区分,規模コード,規模区分
6273,ＳＭＣ,プライム（内国株式）,3600,機械,8,機械,2,TOPIX Large70
6276,シリウスビジョン,スタンダード（内国株式）,3650,電気機器,9,電機・精密,-,-
6277,ホソカワミクロン,プライム（内国株式）,3600,機械,8,機械,6,TOPIX Small 1
6278,ユニオンツール,プライム（内国株式）,3600,機械,8,機械,6,TOPIX Small 1
6279,瑞光,プライム（内国株式）,3600,機械,8,機械,7,TOPIX Small 2
6282,オイレス工業,プライム（内国株式）,3600,機械,8,機械,7,TOPIX Small 2
6284,日精エー・エス・ビー機械,プライム（内国株式）,3600,機械,8,機械,6,TOPIX Small 1
6286,靜甲,スタンダード（内国株式）,3600,機械,8,機械,-,-
6287,サトーホールディングス,プライム（内国株式）,3600,機械,8,機械,6,TOPIX Small 1
6289,技研製作所,プライム（内国株式）,3600,機械,8,機械,6,TOPIX Small 1
6291,日本エアーテック,スタンダード（内国株式）,3600,機械,8,機械,7,TOPIX Small 2
6292,カワタ,スタンダード（内国株式）,3600,機械,8,機械,-,-
6293,日精樹脂工業,プライム（内国株式）,3600,機械,8,機械,7,TOPIX Small 2
6294,オカダアイヨン,プライム（内国株式）,3600,機械,8,機械,-,-
6297,鉱研工業,スタンダード（内国株式）,3600,機械,8,機械,-,-
6298,ワイエイシイホールディングス,プライム（内国株式）,3600,機械,8,機械,7,TOPIX Small 2
6301,小松製作所,プライム（内国株式）,3600,機械,8,機械,2,TOPIX Large70
6302,住友重機械工業,プライム（内国株式）,3600,機械,8,機械,4,TOPIX Mid400
6305,日立建機,プライム（内国株式）,3600,機械,8,機械,4,TOPIX Mid400
6306,日工,プライム（内国株式）,3600,機械,8,機械,7,TOPIX Small 2
6307,サンセイ,スタンダード（内国株式）,3600,機械,8,機械,-,-
6309,巴工業,プライム（内国株式）,3600,機械,8,機械,7,TOPIX Small 2
6310,井関農機,プライム（内国株式）,3600,機械,8,機械,7,TOPIX Small 2
6312,フロイント産業,スタンダード（内国株式）,3600,機械,8,機械,-,-
6315,ＴＯＷＡ,プライム（内国株式）,3600,機械,8,機械,6,TOPIX Small 1
6316,丸山製作所,スタンダード（内国株式）,3600,機械,8,機械,-,-
6317,北川鉄工所,スタンダード（内国株式）,3600,機械,8,機械,7,TOPIX Small 2
6319,シンニッタン,スタンダード（内国株式）,3450,鉄鋼,7,鉄鋼・非鉄,-,-
6322,タクミナ,スタンダード（内国株式）,3600,機械,8,機械,-,-
6323,ローツェ,プライム（内国株式）,3600,機械,8,機械,4,TOPIX Mid400
6324,ハーモニック・ドライブ・システムズ,スタンダード（内国株式）,3600,機械,8,機械,-,-
6325,タカキタ,スタンダード（内国株式）,3600,機械,8,機械,-,-
6326,クボタ,プライム（内国株式）,3600,機械,8,機械,2,TOPIX Large70
6327,北川精機,スタンダード（内国株式）,3600,機械,8,機械,-,-
6328,荏原実業,プライム（内国株式）,3600,機械,8,機械,7,TOPIX Small 2
6330,東洋エンジニアリング,プライム（内国株式）,2050,建設業,3,建設・資材,7,TOPIX Small 2
6331,三菱化工機,プライム（内国株式）,3600,機械,8,機械,7,TOPIX Small 2
6332,月島ホールディングス,プライム（内国株式）,3600,機械,8,機械,7,TOPIX Small 2
6333,帝国電機製作所,プライム（内国株式）,3600,機械,8,機械,7,TOPIX Small 2
6334,明治機械,スタンダード（内国株式）,3600,機械,8,機械,-,-
6335,東京機械製作所,スタンダード（内国株式）,3600,機械,8,機械,-,-
6336,石井表記,スタンダード（内国株式）,3600,機械,8,機械,-,-
6337,テセック,スタンダード（内国株式）,3600,機械,8,機械,-,-
6338,タカトリ,スタンダード（内国株式）,3600,機械,8,機械,-,-
6339,新東工業,プライム（内国株式）,3600,機械,8,機械,7,TOPIX Small 2
6340,澁谷工業,プライム（内国株式）,3600,機械,8,機械,7,TOPIX Small 2
6342,太平製作所,スタンダード（内国株式）,3600,機械,8,機械,-,-
6343,フリージア・マクロス,スタンダード（内国株式）,3600,機械,8,機械,-,-
6345,アイチ　コーポレーション,プライム（内国株式）,3600,機械,8,機械,7,TOPIX Small 2
6346,キクカワエンタープライズ,スタンダード（内国株式）,3600,機械,8,機械,-,-
6347,プラコー,スタンダード（内国株式）,3600,機械,8,機械,-,-
6349,小森コーポレーション,プライム（内国株式）,3600,機械,8,機械,7,TOPIX Small 2
6351,鶴見製作所,プライム（内国株式）,3600,機械,8,機械,7,TOPIX Small 2
6356,日本ギア工業,スタンダード（内国株式）,3600,機械,8,機械,-,-
6357,三精テクノロジーズ,スタンダード（内国株式）,3600,機械,8,機械,-,-
6358,酒井重工業,プライム（内国株式）,3600,機械,8,機械,7,TOPIX Small 2
6360,東京自働機械製作所,スタンダード（内国株式）,3600,機械,8,機械,-,-
6361,荏原製作所,プライム（内国株式）,3600,機械,8,機械,4,TOPIX Mid400
6363,酉島製作所,プライム（内国株式）,3600,機械,8,機械,6,TOPIX Small 1
6364,北越工業,プライム（内国株式）,3600,機械,8,機械,7,TOPIX Small 2
6365,電業社機械製作所,スタンダード（内国株式）,3600,機械,8,機械,-,-
6366,千代田化工建設,スタンダード（内国株式）,2050,建設業,3,建設・資材,-,-
6367,ダイキン工業,プライム（内国株式）,3600,機械,8,機械,1,TOPIX Core30
6368,オルガノ,プライム（内国株式）,3600,機械,8,機械,6,TOPIX Small 1
6369,トーヨーカネツ,プライム（内国株式）,3600,機械,8,機械,7,TOPIX Small 2
6370,栗田工業,プライム（内国株式）,3600,機械,8,機械,4,TOPIX Mid400
6371,椿本チエイン,プライム（内国株式）,3600,機械,8,機械,6,TOPIX Small 1
6373,大同工業,スタンダード（内国株式）,3600,機械,8,機械,-,-
6376,日機装,プライム（内国株式）,3750,精密機器,9,電機・精密,6,TOPIX Small 1
6378,木村化工機,スタンダード（内国株式）,3600,機械,8,機械,7,TOPIX Small 2
6379,レイズネクスト,プライム（内国株式）,2050,建設業,3,建設・資材,7,TOPIX Small 2
6380,オリエンタルチエン工業,スタンダード（内国株式）,3600,機械,8,機械,-,-
6381,アネスト岩田,プライム（内国株式）,3600,機械,8,機械,7,TOPIX Small 2
6382,トリニティ工業,スタンダード（内国株式）,3600,機械,8,機械,-,-
6383,ダイフク,プライム（内国株式）,3600,機械,8,機械,4,TOPIX Mid400
6384,昭和真空,スタンダード（内国株式）,3600,機械,8,機械,-,-
6387,サムコ,プライム（内国株式）,3600,機械,8,機械,7,TOPIX Small 2
6390,加藤製作所,プライム（内国株式）,3600,機械,8,機械,-,-
6391,加地テック,スタンダード（内国株式）,3600,機械,8,機械,-,-
6392,ヤマダコーポレーション,スタンダード（内国株式）,3600,機械,8,機械,-,-
6393,油研工業,スタンダード（内国株式）,3600,機械,8,機械,-,-
6395,タダノ,プライム（内国株式）,3600,機械,8,機械,4,TOPIX Mid400
6396,宇野澤組鐵工所,スタンダード（内国株式）,3600,機械,8,機械,-,-
6400,不二精機,スタンダード（内国株式）,3600,機械,8,機械,-,-
6402,兼松エンジニアリング,スタンダード（内国株式）,3600,機械,8,機械,-,-
6403,水道機工,スタンダード（内国株式）,3600,機械,8,機械,-,-
6405,鈴茂器工,スタンダード（内国株式）,3600,機械,8,機械,-,-
6406,フジテック,プライム（内国株式）,3600,機械,8,機械,4,TOPIX Mid400
6407,ＣＫＤ,プライム（内国株式）,3600,機械,8,機械,6,TOPIX Small 1
6408,小倉クラッチ,スタンダード（内国株式）,3600,機械,8,機械,-,-
6411,中野冷機,スタンダード（内国株式）,3600,機械,8,機械,-,-
6412,平和,プライム（内国株式）,3600,機械,8,機械,6,TOPIX Small 1
6413,理想科学工業,プライム（内国株式）,3600,機械,8,機械,7,TOPIX Small 2
6416,桂川電機,スタンダード（内国株式）,3600,機械,8,機械,-,-
6417,ＳＡＮＫＹＯ,プライム（内国株式）,3600,機械,8,機械,4,TOPIX Mid400
6418,日本金銭機械,プライム（内国株式）,3600,機械,8,機械,7,TOPIX Small 2
6419,マースグループホールディングス,プライム（内国株式）,3600,機械,8,機械,6,TOPIX Small 1
6420,フクシマガリレイ,プライム（内国株式）,3600,機械,8,機械,7,TOPIX Small 2
6424,高見沢サイバネティックス,スタンダード（内国株式）,3600,機械,8,機械,-,-
6425,ユニバーサルエンターテインメント,スタンダード（内国株式）,3600,機械,8,機械,-,-
6428,オーイズミ,スタンダード（内国株式）,3600,機械,8,機械,-,-
6430,ダイコク電機,プライム（内国株式）,3600,機械,8,機械,6,TOPIX Small 1
6432,竹内製作所,プライム（内国株式）,3600,機械,8,機械,6,TOPIX Small 1
6433,ヒーハイスト,スタンダード（内国株式）,3600,機械,8,機械,-,-
6436,アマノ,プライム（内国株式）,3600,機械,8,機械,4,TOPIX Mid400
6440,ＪＵＫＩ,プライム（内国株式）,3600,機械,8,機械,7,TOPIX Small 2
6444,サンデン,スタンダード（内国株式）,3600,機械,8,機械,-,-
6445,ジャノメ,プライム（内国株式）,3600,機械,8,機械,7,TOPIX Small 2
6448,ブラザー工業,プライム（内国株式）,3650,電気機器,9,電機・精密,4,TOPIX Mid400
6454,マックス,プライム（内国株式）,3600,機械,8,機械,6,TOPIX Small 1
6455,モリタホールディングス,プライム（内国株式）,3700,輸送用機器,6,自動車・輸送機,7,TOPIX Small 2
6457,グローリー,プライム（内国株式）,3600,機械,8,機械,4,TOPIX Mid400
6458,新晃工業,プライム（内国株式）,3600,機械,8,機械,6,TOPIX Small 1
6459,大和冷機工業,プライム（内国株式）,3600,機械,8,機械,7,TOPIX Small 2
6460,セガサミーホールディングス,プライム（内国株式）,3600,機械,8,機械,4,TOPIX Mid400
6463,ＴＰＲ,プライム（内国株式）,3600,機械,8,機械,6,TOPIX Small 1
6464,ツバキ・ナカシマ,プライム（内国株式）,3600,機械,8,機械,6,TOPIX Small 1
6465,ホシザキ,プライム（内国株式）,3600,機械,8,機械,4,TOPIX Mid400
6466,ＴＶＥ,スタンダード（内国株式）,3600,機械,8,機械,-,-
6467,ニチダイ,スタンダード（内国株式）,3600,機械,8,機械,-,-
6469,放電精密加工研究所,スタンダード（内国株式）,3600,機械,8,機械,-,-
6470,大豊工業,スタンダード（内国株式）,3600,機械,8,機械,7,TOPIX Small 2
6471,日本精工,プライム（内国株式）,3600,機械,8,機械,4,TOPIX Mid400
6472,ＮＴＮ,プライム（内国株式）,3600,機械,8,機械,4,TOPIX Mid400
6473,ジェイテクト,プライム（内国株式）,3600,機械,8,機械,4,TOPIX Mid400
6474,不二越,プライム（内国株式）,3600,機械,8,機械,6,TOPIX Small 1
6479,ミネベアミツミ,プライム（内国株式）,3650,電気機器,9,電機・精密,4,TOPIX Mid400
6480,日本トムソン,プライム（内国株式）,3600,機械,8,機械,7,TOPIX Small 2
6481,ＴＨＫ,プライム（内国株式）,3600,機械,8,機械,4,TOPIX Mid400
6482,ユーシン精機,スタンダード（内国株式）,3600,機械,8,機械,7,TOPIX Small 2
6484,ＫＶＫ,スタンダード（内国株式）,3600,機械,8,機械,-,-
6485,前澤給装工業,スタンダード（内国株式）,3600,機械,8,機械,7,TOPIX Small 2
6486,イーグル工業,プライム（内国株式）,3600,機械,8,機械,6,TOPIX Small 1
6488,ヨシタケ,スタンダード（内国株式）,3600,機械,8,機械,-,-
6489,前澤工業,スタンダード（内国株式）,3600,機械,8,機械,-,-
6490,ＰＩＬＬＡＲ,プライム（内国株式）,3600,機械,8,機械,6,TOPIX Small 1
6492,岡野バルブ製造,スタンダード（内国株式）,3600,機械,8,機械,-,-
6493,ＮＩＴＴＡＮ,スタンダード（内国株式）,3700,輸送用機器,6,自動車・輸送機,-,-
6494,ＮＦＫホールディングス,スタンダード（内国株式）,3600,機械,8,機械,-,-
6495,宮入バルブ製作所,スタンダード（内国株式）,3600,機械,8,機械,-,-
6496,中北製作所,スタンダード（内国株式）,3600,機械,8,機械,-,-
6497,ハマイ,スタンダード（内国株式）,3600,機械,8,機械,-,-
6498,キッツ,プライム（内国株式）,3600,機械,8,機械,6,TOPIX Small 1
6501,日立製作所,プライム（内国株式）,3650,電気機器,9,電機・精密,1,TOPIX Core30
